,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/created ?b'}),frozenset({'?a http://example.com/created.http://example.com/created ?b'}),200157.0,3965.0,125.0,0.0006245097598385267,1.5750561408285667e-07,-793622380.0,-3966.477103663414
1,frozenset({'?a http://example.com/created.http://example.com/created ?b'}),frozenset({'?a http://example.com/created ?b'}),3965.0,200157.0,125.0,0.031525851197982346,1.575056140828567e-07,-793622380.0,-206671.49479166666
2,frozenset({'?a http://example.com/wasBornIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isPoliticianOf ?b'}),33778.0,1460.0,219.0,0.006483509976908047,4.440760258156197e-06,-49315661.0,-1468.5211716678089
3,frozenset({'?a http://example.com/isPoliticianOf ?b'}),frozenset({'?a http://example.com/wasBornIn.http://example.com/isLocatedIn ?b'}),1460.0,33778.0,219.0,0.15,4.440760258156196e-06,-49315661.0,-39737.64705882353
4,frozenset({'?b http://example.com/hasCapital ?a'}),frozenset({'?a http://example.com/isLocatedIn ?b'}),2119.0,213089.0,106.0,0.05002359603586597,2.347544736512254e-07,-451535485.0,-224308.72925981123
5,frozenset({'?a http://example.com/isLocatedIn ?b'}),frozenset({'?b http://example.com/hasCapital ?a'}),213089.0,2119.0,106.0,0.0004974447296669466,2.347544736512254e-07,-451535485.0,-2119.0541123000426
6,frozenset({'?a http://example.com/influences.http://example.com/influences ?b'}),frozenset({'?a http://example.com/influences ?b'}),58160.0,13950.0,2475.0,0.04255502063273728,3.0505391134578693e-06,-811329525.0,-14568.983388704319
7,frozenset({'?a http://example.com/influences ?b'}),frozenset({'?a http://example.com/influences.http://example.com/influences ?b'}),13950.0,58160.0,2475.0,0.1774193548387097,3.0505391134578693e-06,-811329525.0,-70703.09803921569
8,frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isPoliticianOf ?b'}),5269.0,1460.0,130.0,0.02467261339912697,1.6899050273374638e-05,-7692610.0,-1495.907958746838
9,frozenset({'?a http://example.com/isPoliticianOf ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),1460.0,5269.0,130.0,0.08904109589041095,1.6899050273374634e-05,-7692610.0,-5782.917293233083
10,frozenset({'?a http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),14593.0,5269.0,938.0,0.06427739327074625,1.219916364979052e-05,-76889579.0,-5629.873599414133
11,frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/livesIn ?b'}),5269.0,14593.0,938.0,0.17802239514139306,1.2199163649790521e-05,-76889579.0,-17752.308473793582
12,frozenset({'?a http://example.com/isCitizenOf ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),14570.0,5269.0,206.0,0.014138641043239534,2.683363264991371e-06,-76769124.0,-5343.550543024227
13,frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf ?b'}),5269.0,14570.0,206.0,0.03909660277092428,2.683363264991371e-06,-76769124.0,-15161.773849496347
14,frozenset({'?a http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/isMarriedTo.http://example.com/livesIn ?b'}),14593.0,537.0,181.0,0.012403207017062975,2.3097219771066992e-05,-7836260.0,-542.7316125451013
15,frozenset({'?a http://example.com/isMarriedTo.http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/livesIn ?b'}),537.0,14593.0,181.0,0.3370577281191806,2.3097219771066992e-05,-7836260.0,-22010.96629213483
16,frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isPoliticianOf ?b'}),13400.0,1460.0,362.0,0.027014925373134328,1.850337354324269e-05,-19563638.0,-1499.5091271667434
17,frozenset({'?a http://example.com/isPoliticianOf ?b'}),frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),1460.0,13400.0,362.0,0.24794520547945206,1.8503373543242693e-05,-19563638.0,-17816.520947176687
18,frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/livesIn ?b'}),13400.0,14593.0,175.0,0.013059701492537313,8.949291778618045e-07,-195546025.0,-14785.088846880908
19,frozenset({'?a http://example.com/livesIn ?b'}),frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),14593.0,13400.0,175.0,0.011992050983348181,8.949291778618045e-07,-195546025.0,-13561.631779719795
20,frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf ?b'}),13400.0,14570.0,605.0,0.045149253731343285,3.0987819994058536e-06,-195237395.0,-15257.881985150449
