,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/hasChild.http://example.com/diedIn ?b'}),frozenset({'?a http://example.com/diedIn ?b'}),1441.0,22156.0,115.0,0.0798056904927134,3.601990002379193e-06,-31926681.0,-24076.43665158371
1,frozenset({'?a http://example.com/diedIn ?b'}),frozenset({'?a http://example.com/hasChild.http://example.com/diedIn ?b'}),22156.0,1441.0,115.0,0.0051904675934284165,3.6019900023791924e-06,-31926681.0,-1447.513270722744
2,frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf ?b'}),5269.0,14570.0,206.0,0.03909660277092428,2.683363264991371e-06,-76769124.0,-15161.773849496347
3,frozenset({'?a http://example.com/isCitizenOf ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),14570.0,5269.0,206.0,0.014138641043239534,2.683363264991371e-06,-76769124.0,-5343.550543024227
4,frozenset({'?a http://example.com/isPoliticianOf ?b'}),frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),1460.0,5269.0,130.0,0.08904109589041095,1.6899050273374634e-05,-7692610.0,-5782.917293233083
5,frozenset({'?a http://example.com/livesIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isPoliticianOf ?b'}),5269.0,1460.0,130.0,0.02467261339912697,1.6899050273374638e-05,-7692610.0,-1495.907958746838
6,frozenset({'?a http://example.com/actedIn ?b'}),frozenset({'?a http://example.com/isMarriedTo.http://example.com/created ?b'}),107575.0,10707.0,151.0,0.0014036718568440623,1.310985202992493e-07,-1151805374.0,-10721.048834524874
7,frozenset({'?a http://example.com/isMarriedTo.http://example.com/created ?b'}),frozenset({'?a http://example.com/actedIn ?b'}),10707.0,107575.0,151.0,0.014102923321191743,1.310985202992493e-07,-1151805374.0,-109112.80958696477
8,frozenset({'?a http://example.com/isMarriedTo.http://example.com/created ?b'}),frozenset({'?a http://example.com/created ?b'}),10707.0,200157.0,386.0,0.036051181470066314,1.801145174541301e-07,-2143080613.0,-207641.72967735687
9,frozenset({'?a http://example.com/created ?b'}),frozenset({'?a http://example.com/isMarriedTo.http://example.com/created ?b'}),200157.0,10707.0,386.0,0.0019284861383813707,1.8011451745413006e-07,-2143080613.0,-10726.686265774311
10,frozenset({'?a http://example.com/influences ?b'}),frozenset({'?a http://example.com/influences.http://example.com/influences ?b'}),13950.0,58160.0,2475.0,0.1774193548387097,3.0505391134578693e-06,-811329525.0,-70703.09803921569
11,frozenset({'?a http://example.com/influences.http://example.com/influences ?b'}),frozenset({'?a http://example.com/influences ?b'}),58160.0,13950.0,2475.0,0.04255502063273728,3.0505391134578693e-06,-811329525.0,-14568.983388704319
12,frozenset({'?a http://example.com/isMarriedTo.http://example.com/wasBornIn ?b'}),frozenset({'?a http://example.com/wasBornIn ?b'}),2151.0,55963.0,111.0,0.05160390516039052,9.22107556070806e-07,-120376302.0,-59006.99117647058
13,frozenset({'?a http://example.com/wasBornIn ?b'}),frozenset({'?a http://example.com/isMarriedTo.http://example.com/wasBornIn ?b'}),55963.0,2151.0,111.0,0.0019834533531083035,9.221075560708059e-07,-120376302.0,-2154.272899806632
14,frozenset({'?a http://example.com/created ?b'}),frozenset({'?a http://example.com/influences.http://example.com/created ?b'}),200157.0,50621.0,117.0,0.0005845411352088611,1.1547403947153574e-08,-10132147380.0,-50649.60677864427
15,frozenset({'?a http://example.com/influences.http://example.com/created ?b'}),frozenset({'?a http://example.com/created ?b'}),50621.0,200157.0,117.0,0.002311293731850418,1.1547403947153574e-08,-10132147380.0,-200619.69103437354
16,frozenset({'?a http://example.com/isCitizenOf ?b'}),frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),14570.0,13400.0,605.0,0.041523678792038436,3.0987819994058536e-06,-195237395.0,-13979.479412817758
17,frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf ?b'}),13400.0,14570.0,605.0,0.045149253731343285,3.0987819994058536e-06,-195237395.0,-15257.881985150449
18,frozenset({'?a http://example.com/isPoliticianOf ?b'}),frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),1460.0,13400.0,362.0,0.24794520547945206,1.8503373543242693e-05,-19563638.0,-17816.520947176687
19,frozenset({'?a http://example.com/diedIn.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isPoliticianOf ?b'}),13400.0,1460.0,362.0,0.027014925373134328,1.850337354324269e-05,-19563638.0,-1499.5091271667434
20,frozenset({'?a http://example.com/diedIn ?b'}),frozenset({'?a http://example.com/isCitizenOf.http://example.com/hasCapital ?b'}),22156.0,13624.0,688.0,0.03105253655894566,2.279252536622553e-06,-301852656.0,-14059.585802124093
