,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/time_zone_P421 ?b'}),frozenset({'?a http://example.com/capital_P36.http://example.com/time_zone_P421 ?b'}),28856.0,2988.0,358.0,0.01240643193789853,4.152085655253859e-06,-86221370.0,-3024.5235455119655
1,frozenset({'?a http://example.com/capital_P36.http://example.com/time_zone_P421 ?b'}),frozenset({'?a http://example.com/time_zone_P421 ?b'}),2988.0,28856.0,358.0,0.11981258366800536,4.152085655253859e-06,-86221370.0,-32782.79087452472
2,frozenset({'?a http://example.com/part_of_P361 ?b'}),frozenset({'?a http://example.com/father_P22.http://example.com/part_of_P361 ?b'}),42620.0,269.0,146.0,0.0034256217738151103,1.2734653434256916e-05,-11464634.0,-268.92122239487685
3,frozenset({'?a http://example.com/father_P22.http://example.com/part_of_P361 ?b'}),frozenset({'?a http://example.com/part_of_P361 ?b'}),269.0,42620.0,146.0,0.5427509293680297,1.2734653434256914e-05,-11464634.0,-93207.40650406503
4,frozenset({'?a http://example.com/succeeded_by_P156.http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),12757.0,18288.0,5284.0,0.4142039664497923,2.264894829668593e-05,-233294732.0,-31217.350327846918
5,frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/succeeded_by_P156.http://example.com/site_of_astronomical_discovery_P65 ?b'}),18288.0,12757.0,5284.0,0.28893263342082237,2.2648948296685928e-05,-233294732.0,-17939.22854506306
6,frozenset({'?a http://example.com/cast_member_P161 ?b'}),frozenset({'?a http://example.com/cast_member_P161.http://example.com/cohabitant_P451 ?b'}),275616.0,3387.0,157.0,0.000569633112736561,1.68182200394615e-07,-933511235.0,-3387.9298770415926
7,frozenset({'?a http://example.com/cast_member_P161.http://example.com/cohabitant_P451 ?b'}),frozenset({'?a http://example.com/cast_member_P161 ?b'}),3387.0,275616.0,157.0,0.04635370534396221,1.68182200394615e-07,-933511235.0,-289011.76625387
8,frozenset({'?a http://example.com/country_of_origin_P495 ?b'}),frozenset({'?a http://example.com/production_company_P272.http://example.com/country_P17 ?b'}),18274.0,1296.0,150.0,0.008208383495676918,6.3336292404914485e-06,-23682954.0,-1305.7178327080114
9,frozenset({'?a http://example.com/production_company_P272.http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/country_of_origin_P495 ?b'}),1296.0,18274.0,150.0,0.11574074074074074,6.333629240491449e-06,-23682954.0,-20664.75392670157
10,frozenset({'?a http://example.com/continent_P30 ?b'}),frozenset({'?a http://example.com/mouth_of_the_watercourse_P403.http://example.com/continent_P30 ?b'}),17368.0,1507.0,382.0,0.02199447259327499,1.4594872324668208e-05,-26173194.0,-1539.8685976686684
11,frozenset({'?a http://example.com/mouth_of_the_watercourse_P403.http://example.com/continent_P30 ?b'}),frozenset({'?a http://example.com/continent_P30 ?b'}),1507.0,17368.0,382.0,0.2534837425348374,1.4594872324668206e-05,-26173194.0,-23264.06133333333
12,frozenset({'?a http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/twin_city_P190.http://example.com/country_P17 ?b'}),838073.0,3153.0,214.0,0.0002553476845095833,8.0985627817819e-08,-2642443955.0,-3152.8050614721574
13,frozenset({'?a http://example.com/twin_city_P190.http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/country_P17 ?b'}),3153.0,838073.0,214.0,0.06787186806216301,8.098562781781898e-08,-2642443955.0,-899095.2759441987
