,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/adjacent_station_P197 ?b'}),frozenset({'?b http://example.com/adjacent_station_P197 ?a'}),11180.0,11180.0,10260.0,0.9177101967799642,8.208499076743867e-05,-124982140.0,-135849.15217391308
1,frozenset({'?b http://example.com/adjacent_station_P197 ?a'}),frozenset({'?a http://example.com/adjacent_station_P197 ?b'}),11180.0,11180.0,10260.0,0.9177101967799642,8.208499076743867e-05,-124982140.0,-135849.15217391308
2,frozenset({'?a http://example.com/adjacent_station_P197 ?b'}),frozenset({'?a http://example.com/adjacent_station_P197.http://example.com/adjacent_station_P197 ?b'}),11180.0,18513.0,217.0,0.019409660107334525,1.0484340791516516e-06,-206975123.0,-18878.423789108823
3,frozenset({'?a http://example.com/adjacent_station_P197.http://example.com/adjacent_station_P197 ?b'}),frozenset({'?a http://example.com/adjacent_station_P197 ?b'}),18513.0,11180.0,217.0,0.011721493004915465,1.0484340791516516e-06,-206975123.0,-11311.588707914298
4,frozenset({'?b http://example.com/adjacent_station_P197 ?a'}),frozenset({'?a http://example.com/adjacent_station_P197.http://example.com/adjacent_station_P197 ?b'}),11180.0,18513.0,193.0,0.017262969588550985,9.324782362961694e-07,-206975147.0,-18837.185764994996
5,frozenset({'?a http://example.com/adjacent_station_P197.http://example.com/adjacent_station_P197 ?b'}),frozenset({'?b http://example.com/adjacent_station_P197 ?a'}),18513.0,11180.0,193.0,0.010425106681791174,9.324782362961694e-07,-206975147.0,-11296.770032751092
6,frozenset({'?a http://example.com/discoverer_or_inventor_P61 ?b'}),frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),24926.0,18288.0,377.0,0.015124769317178849,8.270324429778461e-07,-455846311.0,-18567.834209132754
7,frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/discoverer_or_inventor_P61 ?b'}),18288.0,24926.0,377.0,0.020614610673665792,8.270324429778461e-07,-455846311.0,-25449.634302942326
8,frozenset({'?a http://example.com/preceded_by_P155 ?b'}),frozenset({'?b http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?a'}),112483.0,90576.0,126.0,0.0011201692700230257,1.2367175300554514e-08,-10188260082.0,-90676.5731107096
9,frozenset({'?b http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?a'}),frozenset({'?a http://example.com/preceded_by_P155 ?b'}),90576.0,112483.0,126.0,0.0013910969793322733,1.2367175300554514e-08,-10188260082.0,-112638.69134328359
10,frozenset({'?a http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?b'}),frozenset({'?a http://example.com/succeeded_by_P156 ?b'}),90576.0,105481.0,397.0,0.004383059530118354,4.1553071454748757e-08,-9554046659.0,-105944.36043868306
11,frozenset({'?a http://example.com/succeeded_by_P156 ?b'}),frozenset({'?a http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?b'}),105481.0,90576.0,397.0,0.0037637110000853236,4.1553071454748757e-08,-9554046659.0,-90917.18601309428
12,frozenset({'?b http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?a'}),frozenset({'?a http://example.com/succeeded_by_P156 ?b'}),90576.0,105481.0,258.0,0.0028484366719660837,2.700426306127249e-08,-9554046798.0,-105781.31136650502
13,frozenset({'?a http://example.com/succeeded_by_P156 ?b'}),frozenset({'?b http://example.com/preceded_by_P155.http://example.com/succeeded_by_P156 ?a'}),105481.0,90576.0,258.0,0.0024459381310378172,2.7004263061272493e-08,-9554046798.0,-90797.0840500651
14,frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/preceded_by_P155.http://example.com/site_of_astronomical_discovery_P65 ?b'}),18288.0,12785.0,5275.0,0.2884405074365704,2.256085314325932e-05,-233806805.0,-17966.171674479363
15,frozenset({'?a http://example.com/preceded_by_P155.http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),12785.0,18288.0,5275.0,0.4125928822839265,2.2560853143259324e-05,-233806805.0,-31131.730359520636
16,frozenset({'?a http://example.com/succeeded_by_P156.http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),12757.0,18288.0,5284.0,0.4142039664497923,2.264894829668593e-05,-233294732.0,-31217.350327846918
17,frozenset({'?a http://example.com/site_of_astronomical_discovery_P65 ?b'}),frozenset({'?a http://example.com/succeeded_by_P156.http://example.com/site_of_astronomical_discovery_P65 ?b'}),18288.0,12757.0,5284.0,0.28893263342082237,2.2648948296685928e-05,-233294732.0,-17939.22854506306
18,frozenset({'?a http://example.com/original_language_P364 ?b'}),frozenset({'?a http://example.com/narrative_set_in_P840.http://example.com/official_language_P37 ?b'}),75911.0,4316.0,1034.0,0.013621214316765686,3.155981074320131e-06,-327630842.0,-4374.5871896577055
19,frozenset({'?a http://example.com/narrative_set_in_P840.http://example.com/official_language_P37 ?b'}),frozenset({'?a http://example.com/original_language_P364 ?b'}),4316.0,75911.0,1034.0,0.23957367933271548,3.155981074320131e-06,-327630842.0,-99825.58196221816
20,frozenset({'?a http://example.com/publisher_P123 ?b'}),frozenset({'?a http://example.com/series_P179.http://example.com/publisher_P123 ?b'}),32793.0,843.0,390.0,0.011892781996157717,1.4107689200661586e-05,-27644109.0,-852.1342468289973
21,frozenset({'?a http://example.com/series_P179.http://example.com/publisher_P123 ?b'}),frozenset({'?a http://example.com/publisher_P123 ?b'}),843.0,32793.0,390.0,0.4626334519572954,1.4107689200661586e-05,-27644109.0,-61023.523178807955
22,frozenset({'?a http://example.com/preceded_by_P155.http://example.com/place_of_birth_P19 ?b'}),frozenset({'?a http://example.com/place_of_birth_P19 ?b'}),1402.0,303056.0,370.0,0.26390870185449355,8.708248701708383e-07,-424884142.0,-411708.4399224806
23,frozenset({'?a http://example.com/place_of_birth_P19 ?b'}),frozenset({'?a http://example.com/preceded_by_P155.http://example.com/place_of_birth_P19 ?b'}),303056.0,1402.0,370.0,0.0012208964679795153,8.708248701708383e-07,-424884142.0,-1402.7125668184192
24,frozenset({'?a http://example.com/preceded_by_P155.http://example.com/place_of_birth_P19 ?b'}),frozenset({'?a http://example.com/place_of_death_P20 ?b'}),1402.0,145301.0,233.0,0.16619115549215407,1.1437715878910267e-06,-203711769.0,-174260.56458511547
25,frozenset({'?a http://example.com/place_of_death_P20 ?b'}),frozenset({'?a http://example.com/preceded_by_P155.http://example.com/place_of_birth_P19 ?b'}),145301.0,1402.0,233.0,0.0016035677662232194,1.1437715878910267e-06,-203711769.0,-1403.2502067995697
26,frozenset({'?a http://example.com/highway_system_P16.http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/country_P17 ?b'}),12791.0,838073.0,12621.0,0.986709405050426,1.177354961978761e-06,-10719779122.0,-63057523.24705861
27,frozenset({'?a http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/highway_system_P16.http://example.com/country_P17 ?b'}),838073.0,12791.0,12621.0,0.015059547318670331,1.177354961978761e-06,-10719779122.0,-12985.556604139309
28,frozenset({'?a http://example.com/sport_P641 ?b'}),frozenset({'?a http://example.com/occupation_P106.http://example.com/field_of_this_profession_P425 ?b'}),805.0,362972.0,187.0,0.23229813664596274,6.399891359277375e-07,-292192273.0,-472802.0307443366
29,frozenset({'?a http://example.com/occupation_P106.http://example.com/field_of_this_profession_P425 ?b'}),frozenset({'?a http://example.com/sport_P641 ?b'}),362972.0,805.0,187.0,0.0005151912544218287,6.399891359277375e-07,-292192273.0,-804.4144272778643
30,frozenset({'?a http://example.com/spouse_P26.http://example.com/member_of_political_party_P102 ?b'}),frozenset({'?a http://example.com/member_of_political_party_P102 ?b'}),716.0,58953.0,230.0,0.32122905027932963,5.448900824034903e-06,-42210118.0,-86851.09465020576
31,frozenset({'?a http://example.com/member_of_political_party_P102 ?b'}),frozenset({'?a http://example.com/spouse_P26.http://example.com/member_of_political_party_P102 ?b'}),58953.0,716.0,230.0,0.00390141299000899,5.448900824034902e-06,-42210118.0,-717.80043594503
32,frozenset({'?a http://example.com/mother_P25.http://example.com/sex_or_gender_P21 ?b'}),frozenset({'?a http://example.com/sex_or_gender_P21 ?b'}),11299.0,575942.0,4458.0,0.39454819010531905,6.850484772864612e-07,-6507564200.0,-951258.2018710715
33,frozenset({'?a http://example.com/sex_or_gender_P21 ?b'}),frozenset({'?a http://example.com/mother_P25.http://example.com/sex_or_gender_P21 ?b'}),575942.0,11299.0,4458.0,0.007740362744859726,6.850484772864612e-07,-6507564200.0,-11386.132798118582
34,frozenset({'?a http://example.com/employer_P108 ?b'}),frozenset({'?a http://example.com/alma_mater_P69 ?b'}),5692.0,75717.0,177.0,0.031096275474349965,4.1069080225510735e-07,-430980987.0,-78146.0511332729
35,frozenset({'?a http://example.com/alma_mater_P69 ?b'}),frozenset({'?a http://example.com/employer_P108 ?b'}),75717.0,5692.0,177.0,0.002337652046436071,4.1069080225510735e-07,-430980987.0,-5704.33474980143
36,frozenset({'?a http://example.com/launch_site_P448 ?b'}),frozenset({'?a http://example.com/preceded_by_P155.http://example.com/launch_site_P448 ?b'}),1926.0,266.0,239.0,0.1240913811007269,0.0004665089515064921,-512077.0,-302.54297569650265
37,frozenset({'?a http://example.com/preceded_by_P155.http://example.com/launch_site_P448 ?b'}),frozenset({'?a http://example.com/launch_site_P448 ?b'}),266.0,1926.0,239.0,0.8984962406015038,0.0004665089515064921,-512077.0,-18964.81481481482
38,frozenset({'?b http://example.com/capital_P36.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),frozenset({'?a http://example.com/country_P17 ?b'}),2677.0,838073.0,225.0,0.08404930892790437,1.0028876831481788e-07,-2243521196.0,-914975.0179445351
39,frozenset({'?a http://example.com/country_P17 ?b'}),frozenset({'?b http://example.com/capital_P36.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),838073.0,2677.0,225.0,0.00026847303277876747,1.0028876831481788e-07,-2243521196.0,-2676.718626767624
40,frozenset({'?a http://example.com/capital_P36.http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),11011.0,661749.0,1276.0,0.11588411588411589,1.7511793124601003e-07,-7286516963.0,-748485.590960452
41,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),frozenset({'?a http://example.com/capital_P36.http://example.com/country_P17 ?b'}),661749.0,11011.0,1276.0,0.0019282235409498164,1.7511793124601003e-07,-7286516963.0,-11031.27075595823
42,frozenset({'?a http://example.com/contains_administrative_territorial_entity_P150 ?b'}),frozenset({'?b http://example.com/capital_P36.http://example.com/country_P17 ?a'}),89323.0,11011.0,1240.0,0.013882202792114013,1.2607576779687598e-06,-983534313.0,-11164.994720888253
43,frozenset({'?b http://example.com/capital_P36.http://example.com/country_P17 ?a'}),frozenset({'?a http://example.com/contains_administrative_territorial_entity_P150 ?b'}),11011.0,89323.0,1240.0,0.11261465806920352,1.2607576779687598e-06,-983534313.0,-100657.51120663187
44,frozenset({'?a http://example.com/capital_P36.http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/country_P17 ?b'}),11011.0,838073.0,9825.0,0.892289528653165,1.064691892774454e-06,-9228011978.0,-7780784.81618887
45,frozenset({'?a http://example.com/country_P17 ?b'}),frozenset({'?a http://example.com/capital_P36.http://example.com/country_P17 ?b'}),838073.0,11011.0,9825.0,0.011723322431339514,1.064691892774454e-06,-9228011978.0,-11140.604903362278
46,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),8611778.0,661749.0,8260.0,0.0009591515248070724,1.44941892591764e-09,-5698835471462.0,-662383.3259771178
47,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),661749.0,8611778.0,8260.0,0.012482074019001163,1.44941892591764e-09,-5698835471462.0,-8720628.530813832
48,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),661749.0,8611778.0,307.0,0.0004639221215294621,5.3870654994759747e-11,-5698835479415.0,-8615774.048175048
49,frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131 ?b'}),8611778.0,661749.0,307.0,3.564885207212727e-05,5.3870654994759747e-11,-5698835479415.0,-661771.5913975672
50,frozenset({'?a http://example.com/part_of_P361 ?b'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),42620.0,8611778.0,187.0,0.004387611450023463,5.094896141102875e-10,-367033978173.0,-8649728.648457568
51,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),frozenset({'?a http://example.com/part_of_P361 ?b'}),8611778.0,42620.0,187.0,2.171444735338045e-05,5.094896141102874e-10,-367033978173.0,-42619.92546812778
52,frozenset({'?a http://example.com/consists_of_P527 ?b'}),frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),7287.0,8611778.0,173.0,0.02374090846713325,2.756795224764648e-09,-62754026113.0,-8821200.3091088
53,frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),frozenset({'?a http://example.com/consists_of_P527 ?b'}),8611778.0,7287.0,173.0,2.008876680285999e-05,2.756795224764648e-09,-62754026113.0,-7286.146369695312
54,frozenset({'?a http://example.com/shares_border_with_P47 ?b'}),frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),88617.0,8611778.0,60230.0,0.6796664296918199,7.892289254226246e-08,-763149870796.0,-26883779.279564593
55,frozenset({'?a http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?b'}),frozenset({'?a http://example.com/shares_border_with_P47 ?b'}),8611778.0,88617.0,60230.0,0.006993909968417672,7.892289254226245e-08,-763149870796.0,-89240.13748715437
56,frozenset({'?a http://example.com/shares_border_with_P47 ?b'}),frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),88617.0,8611778.0,60176.0,0.6790570658000158,7.885213318318422e-08,-763149870850.0,-26832735.923807178
57,frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),frozenset({'?a http://example.com/shares_border_with_P47 ?b'}),8611778.0,88617.0,60176.0,0.006987639486294235,7.88521331831842e-08,-763149870850.0,-89239.57397081857
58,frozenset({'?a http://example.com/capital_P36 ?b'}),frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),11182.0,8611778.0,767.0,0.06859238061169737,7.964949933880943e-09,-96296900829.0,-9245980.836677868
59,frozenset({'?b http://example.com/is_in_the_administrative_territorial_entity_P131.http://example.com/contains_administrative_territorial_entity_P150 ?a'}),frozenset({'?a http://example.com/capital_P36 ?b'}),8611778.0,11182.0,767.0,8.906407016065672e-05,7.964949933880943e-09,-96296900829.0,-11181.995914068626
