,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a http://example.com/hasAcademicAdvisor.http://example.com/graduatedFrom ?b'}),frozenset({'?a http://example.com/graduatedFrom ?b'}),1586.0,26280.0,230.0,0.1450189155107188,5.51822357346723e-06,-41679850.0,-30736.35250737463
1,frozenset({'?a http://example.com/graduatedFrom ?b'}),frozenset({'?a http://example.com/hasAcademicAdvisor.http://example.com/graduatedFrom ?b'}),26280.0,1586.0,230.0,0.008751902587519025,5.518223573467229e-06,-41679850.0,-1598.9942418426103
2,frozenset({'?a http://example.com/hasCapital.http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/isLocatedIn ?b'}),3526.0,1180578.0,490.0,0.13896766874645491,1.1771155209266555e-07,-4162717538.0,-1371118.083662714
3,frozenset({'?a http://example.com/isLocatedIn ?b'}),frozenset({'?a http://example.com/hasCapital.http://example.com/isLocatedIn ?b'}),1180578.0,3526.0,490.0,0.00041505093267873874,1.1771155209266555e-07,-4162717538.0,-3526.463662031984
4,frozenset({'?b http://example.com/hasCapital.http://example.com/isLocatedIn ?a'}),frozenset({'?a http://example.com/isLocatedIn ?b'}),3526.0,1180578.0,105.0,0.029778786159954624,2.5223904019856905e-08,-4162717923.0,-1216812.1900029231
5,frozenset({'?a http://example.com/isLocatedIn ?b'}),frozenset({'?b http://example.com/hasCapital.http://example.com/isLocatedIn ?a'}),1180578.0,3526.0,105.0,8.893948557401544e-05,2.5223904019856905e-08,-4162717923.0,-3525.3135395726968
6,frozenset({'?a http://example.com/owns.http://example.com/owns ?b'}),frozenset({'?a http://example.com/owns ?b'}),3591.0,23051.0,175.0,0.04873294346978557,2.1141357628643257e-06,-82775966.0,-24230.840163934427
7,frozenset({'?a http://example.com/owns ?b'}),frozenset({'?a http://example.com/owns.http://example.com/owns ?b'}),23051.0,3591.0,175.0,0.007591861524445794,2.1141357628643257e-06,-82775966.0,-3617.4632802937576
8,frozenset({'?a http://example.com/hasGender ?b'}),frozenset({'?a http://example.com/isMarriedTo.http://example.com/hasGender ?b'}),923292.0,20680.0,668.0,0.0007234980916113212,3.498540094832308e-08,-19093677892.0,-20693.972049285516
9,frozenset({'?a http://example.com/isMarriedTo.http://example.com/hasGender ?b'}),frozenset({'?a http://example.com/hasGender ?b'}),20680.0,923292.0,668.0,0.03230174081237911,3.498540094832308e-08,-19093677892.0,-954110.427743354
