,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'?a dbo:location ?b'}),frozenset({'?a dbo:network.dbo:locationCountry ?b'}),247601.0,9884.0,437.0,0.0017649363290132107,1.7856498674759315e-07,-2447287847.0,-9900.47370571766
1,frozenset({'?a dbo:network.dbo:locationCountry ?b'}),frozenset({'?a dbo:location ?b'}),9884.0,247601.0,437.0,0.044212869283690816,1.7856498674759317e-07,-2447287847.0,-259053.4984651212
2,frozenset({'?a dbo:child.dbo:series ?b'}),frozenset({'?a dbo:series ?b'}),139.0,17923.0,108.0,0.7769784172661871,4.3350913199028464e-05,-2491189.0,-80359.93548387098
3,frozenset({'?a dbo:series ?b'}),frozenset({'?a dbo:child.dbo:series ?b'}),17923.0,139.0,108.0,0.006025776934664956,4.335091319902846e-05,-2491189.0,-138.8365983721583
4,frozenset({'?a dbo:country ?b'}),frozenset({'?a dbo:network.dbo:locationCountry ?b'}),584947.0,9884.0,5186.0,0.008865760487702304,8.969810287031874e-07,-5781610962.0,-9971.404080302054
5,frozenset({'?a dbo:network.dbo:locationCountry ?b'}),frozenset({'?a dbo:country ?b'}),9884.0,584947.0,5186.0,0.5246863617968434,8.969810287031874e-07,-5781610962.0,-1230652.6743295018
6,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:foundationPlace.dbo:capital ?b'}),11548.0,3496.0,508.0,0.04399030135088327,1.258303814384533e-05,-40371300.0,-3655.820652173913
7,frozenset({'?a dbo:foundationPlace.dbo:capital ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),3496.0,11548.0,508.0,0.14530892448512586,1.258303814384533e-05,-40371300.0,-13510.144578313253
8,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:locationCity ?b'}),11548.0,17013.0,1322.0,0.11447869760997575,6.728895409979178e-06,-196464802.0,-19211.28261294739
9,frozenset({'?a dbo:locationCity ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),17013.0,11548.0,1322.0,0.07770528419443955,6.728895409979178e-06,-196464802.0,-12519.859218660378
10,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:locationCity.dbo:isPartOf ?b'}),11548.0,21708.0,285.0,0.024679598198822306,1.1368895429713611e-06,-250683699.0,-22256.27594779366
11,frozenset({'?a dbo:locationCity.dbo:isPartOf ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),21708.0,11548.0,285.0,0.013128800442233277,1.1368895429713611e-06,-250683699.0,-11700.615039910377
12,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:keyPerson.dbo:birthPlace ?b'}),11548.0,6211.0,140.0,0.012123311395912712,1.95190974012441e-06,-71724488.0,-6286.209677419355
13,frozenset({'?a dbo:keyPerson.dbo:birthPlace ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),6211.0,11548.0,140.0,0.02254065367895669,1.95190974012441e-06,-71724488.0,-11813.279031461045
14,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:parentCompany.dbo:location ?b'}),11548.0,7874.0,106.0,0.009179078628333911,1.1657453172890414e-06,-90928846.0,-7945.936374759657
15,frozenset({'?a dbo:parentCompany.dbo:location ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),7874.0,11548.0,106.0,0.013462026924053848,1.1657453172890412e-06,-90928846.0,-11704.56719876416
16,frozenset({'?a dbo:foundationPlace ?b'}),frozenset({'?a dbo:location.dbo:capital ?b'}),11548.0,67239.0,333.0,0.02883616210599238,4.2886066279974983e-07,-776475639.0,-69234.45599643335
17,frozenset({'?a dbo:location.dbo:capital ?b'}),frozenset({'?a dbo:foundationPlace ?b'}),67239.0,11548.0,333.0,0.004952482934011512,4.288606627997499e-07,-776475639.0,-11604.470944309927
